399	275	60	199
400	269	61	206
404	275	60	201
405	273	66	201
408	273	64	203
410	287	62	189
416	284	56	191
422	284	51	191
421	291	53	181
416	292	60	178
422	296	56	170
423	301	56	164
422	300	60	162
425	300	58	164
429	297	55	172
427	297	71	171
429	294	67	174
430	302	71	163
432	291	70	173
427	287	78	183
428	281	74	192
429	279	75	194
428	276	77	197
433	266	72	207
432	260	76	214
435	259	74	217
434	254	77	221
438	253	70	223
433	258	82	213
433	252	82	224
433	262	85	213
429	256	86	217
427	264	84	209
417	253	71	223
407	262	79	213
396	270	82	200
391	270	82	202
385	272	79	195
386	269	75	198
385	267	70	207
385	271	64	203
386	270	60	204
384	273	57	202
384	283	56	192
383	273	53	202
380	271	49	193
378	272	49	197
375	267	50	195
374	275	49	195
370	268	44	193
366	266	47	202
361	263	49	212
360	262	47	214
359	261	44	211
356	257	44	214
353	258	43	217
349	259	46	215
351	259	41	211
347	261	42	212
346	265	40	203
345	268	39	184
345	269	38	175
345	272	37	172
348	279	33	159
347	281	37	162
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
247	293	44	180
0	0	0	0
0	0	0	0
234	279	52	193
237	260	52	183
235	261	53	185
231	272	49	165
205	305	59	160
198	293	65	157
182	300	78	142
191	291	70	141
184	285	77	150
175	295	77	167
178	277	80	159
169	291	76	180
170	280	75	154
172	270	65	162
169	282	51	152
167	285	52	150
163	286	53	148
156	286	58	147
154	288	55	147
157	289	47	150
157	294	40	152
152	278	45	161
123	276	63	175
115	275	63	166
111	271	57	179
112	263	52	174
0	0	0	0
99	250	52	178
0	0	0	0
82	272	57	183
72	270	62	175
66	268	66	172
55	278	75	158
44	284	82	155
47	266	73	178
42	268	76	190
41	266	71	186
40	265	71	182
