68	210	70	227
99	211	48	222
108	211	48	227
121	213	50	217
136	210	51	224
150	205	55	232
162	207	56	231
165	214	68	221
193	214	49	218
209	215	51	219
212	213	54	221
230	211	54	221
239	212	48	219
252	210	49	224
265	213	48	218
343	145	53	214
0	0	0	0
0	0	0	0
0	0	0	0
310	221	59	213
314	222	74	207
338	223	50	197
349	222	44	196
363	220	44	183
372	221	43	192
376	224	51	203
387	223	55	211
393	221	49	221
405	226	52	214
419	228	58	213
428	227	58	220
433	223	54	223
452	226	56	215
461	224	53	219
463	226	60	217
472	228	63	220
479	229	63	219
486	233	68	216
497	234	66	213
510	234	67	211
512	237	75	205
528	232	66	213
532	230	66	214
546	232	62	213
553	232	59	214
565	235	63	213
