424	215	87	75
430	213	84	79
426	213	90	78
416	215	103	81
413	215	108	80
412	209	103	84
414	210	103	85
410	212	109	79
409	212	111	79
408	214	114	78
412	216	113	80
420	204	98	92
412	203	112	88
413	205	110	91
416	202	110	92
418	199	102	98
419	203	106	92
419	203	112	90
425	202	100	93
425	202	99	91
434	209	88	81
435	211	85	81
437	212	76	79
440	215	74	76
438	209	76	83
439	218	78	75
438	212	79	78
443	214	74	79
439	210	81	81
443	216	77	76
441	218	76	74
439	218	76	72
442	219	72	72
442	218	71	72
446	218	68	72
451	215	62	74
449	218	64	75
449	221	62	69
448	222	62	67
448	222	61	67
451	224	57	63
449	222	56	66
451	228	52	60
450	229	57	59
452	228	52	60
452	226	52	64
451	222	56	68
451	220	54	69
446	219	57	70
448	225	53	63
447	230	55	57
445	235	57	52
444	236	59	52
445	238	60	48
446	236	58	51
447	236	57	51
445	235	61	52
443	236	64	52
447	235	61	51
441	234	67	52
442	229	71	59
439	221	67	66
437	219	65	67
435	218	63	68
437	217	59	69
432	215	63	69
435	225	61	59
444	231	54	54
452	233	44	50
458	236	35	46
460	237	33	45
459	238	31	45
456	238	35	45
453	236	38	48
448	235	44	49
445	235	46	47
447	235	43	47
445	236	45	47
441	235	48	47
443	235	44	46
444	233	39	50
446	227	32	54
443	226	31	54
443	230	29	52
429	233	26	51
416	221	29	63
410	217	33	69
397	216	43	68
376	213	52	73
376	213	68	74
377	215	80	71
363	218	100	66
371	222	92	64
364	224	98	62
353	224	113	61
364	221	104	64
358	224	108	61
343	220	116	65
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
298	201	106	79
124	195	105	92
304	203	87	79
152	202	87	72
302	209	78	68
309	209	78	69
307	211	76	71
313	211	71	67
310	207	68	74
308	206	70	75
304	211	72	75
307	207	67	74
306	211	69	71
304	205	72	75
305	208	72	75
301	209	78	74
301	214	78	67
300	218	82	64
308	222	73	61
299	220	80	62
283	217	90	64
279	212	89	72
270	211	94	72
266	213	96	72
264	218	91	65
271	220	85	63
266	220	86	64
265	219	88	66
265	220	90	62
266	218	86	66
263	221	89	64
263	225	93	58
263	219	91	65
261	219	91	66
256	213	93	73
257	211	90	74
254	210	95	74
253	211	96	73
254	215	93	70
254	212	93	73
254	207	87	79
254	205	83	82
247	207	78	75
248	207	76	80
247	211	75	73
246	208	73	78
246	209	73	79
248	208	70	81
