396	301	113	97
396	297	108	103
395	298	108	103
389	297	115	102
388	298	116	97
381	300	122	94
378	302	121	91
369	304	124	93
358	302	134	93
356	305	130	97
352	300	126	98
346	292	123	101
341	294	118	101
337	296	118	93
335	293	114	95
328	291	116	100
323	289	121	98
316	290	112	96
312	292	108	94
306	289	108	97
305	287	108	97
304	286	107	96
303	285	107	96
302	285	106	94
302	285	104	101
302	284	104	96
301	285	103	97
305	284	100	98
307	286	96	95
306	284	96	96
307	283	95	97
307	282	95	96
306	281	97	102
311	281	89	103
312	283	87	99
313	286	85	96
313	286	88	96
315	285	86	102
316	284	85	101
315	288	88	102
321	295	81	95
326	289	74	102
330	292	70	100
341	292	57	102
337	296	62	99
342	296	57	98
351	302	48	94
0	0	0	0
0	0	0	0
297	347	46	82
332	302	45	86
345	295	59	98
344	290	69	115
344	288	73	132
351	283	88	135
358	280	105	132
311	283	141	133
290	281	129	138
301	280	93	129
305	289	79	100
302	290	70	100
301	295	70	99
300	299	60	93
299	298	59	93
296	298	58	92
294	294	60	95
288	294	68	100
284	296	68	97
279	298	69	95
278	296	66	96
276	299	61	90
272	304	68	84
271	306	54	85
275	304	46	101
337	293	46	118
0	0	0	0
0	0	0	0
323	285	55	133
301	281	80	141
266	271	105	146
253	268	112	152
250	272	117	146
242	275	126	141
235	273	138	142
231	275	146	131
235	278	151	115
210	274	169	120
217	272	169	123
267	281	133	101
268	276	110	106
313	283	99	98
290	282	91	98
301	280	81	98
313	284	64	91
313	282	66	95
313	282	68	95
312	284	73	94
311	282	77	97
310	281	82	100
312	282	78	97
311	281	77	95
313	282	72	98
313	281	76	98
313	284	75	96
316	282	67	99
315	283	67	97
316	284	69	97
